Close,High,Low,Open,Volume
12474.5,12474.5,12474.5,12474.5,0
12480.7001953125,12480.7001953125,12480.7001953125,12480.7001953125,0
12398.0,12398.0,12398.0,12398.0,0
12423.5,12423.5,12423.5,12423.5,0
12416.599609375,12416.599609375,12416.599609375,12416.599609375,0
12442.2001953125,12442.2001953125,12442.2001953125,12442.2001953125,0
12515.0,12515.0,12515.0,12515.0,0
12556.099609375,12556.099609375,12556.099609375,12556.099609375,0
12582.599609375,12582.599609375,12582.599609375,12582.599609375,0
12577.2001953125,12577.2001953125,12577.2001953125,12577.2001953125,0
12567.900390625,12567.900390625,12567.900390625,12567.900390625,0
12565.5,12565.5,12565.5,12565.5,0
12477.2001953125,12477.2001953125,12477.2001953125,12477.2001953125,0
12533.7998046875,12533.7998046875,12533.7998046875,12533.7998046875,0
12621.7998046875,12621.7998046875,12621.7998046875,12621.7998046875,0
12502.599609375,12502.599609375,12502.599609375,12502.599609375,0
12487.0,12487.0,12487.0,12487.0,0
12490.7998046875,12490.7998046875,12490.7998046875,12490.7998046875,0
12523.2998046875,12523.2998046875,12523.2998046875,12523.2998046875,0
12621.7001953125,12621.7001953125,12621.7001953125,12621.7001953125,0
12673.7001953125,12673.7001953125,12673.7001953125,12673.7001953125,0
12653.5,12653.5,12653.5,12653.5,0
12661.7001953125,12661.7001953125,12661.7001953125,12661.7001953125,0
12666.2998046875,12666.2998046875,12666.2998046875,12666.2998046875,0
12666.900390625,12666.900390625,12666.900390625,12666.900390625,0
12637.599609375,12637.599609375,12637.599609375,12637.599609375,0
12580.7998046875,12580.7998046875,12580.7998046875,12580.7998046875,0
12552.5,12552.5,12552.5,12552.5,0
12654.7998046875,12654.7998046875,12654.7998046875,12654.7998046875,0
12741.900390625,12741.900390625,12741.900390625,12741.900390625,0
12765.0,12765.0,12765.0,12765.0,0
12767.599609375,12767.599609375,12767.599609375,12767.599609375,0
12786.599609375,12786.599609375,12786.599609375,12786.599609375,0
12738.400390625,12738.400390625,12738.400390625,12738.400390625,0
12686.0,12686.0,12686.0,12686.0,0
12647.5,12647.5,12647.5,12647.5,0
12632.2998046875,12632.2998046875,12632.2998046875,12632.2998046875,0
12216.2001953125,12216.2001953125,12216.2001953125,12216.2001953125,0
12268.599609375,12268.599609375,12268.599609375,12268.599609375,0
12234.2998046875,12234.2998046875,12234.2998046875,12234.2998046875,0
12114.099609375,12114.099609375,12114.099609375,12114.099609375,0
12050.400390625,12050.400390625,12050.400390625,12050.400390625,0
12207.599609375,12207.599609375,12207.599609375,12207.599609375,0
12192.5,12192.5,12192.5,12192.5,0
12260.7001953125,12260.7001953125,12260.7001953125,12260.7001953125,0
12276.2998046875,12276.2998046875,12276.2998046875,12276.2998046875,0
12318.599609375,12318.599609375,12318.599609375,12318.599609375,0
12076.0,12076.0,12076.0,12076.0,0
12133.400390625,12133.400390625,12133.400390625,12133.400390625,0
12159.7001953125,12159.7001953125,12159.7001953125,12159.7001953125,0
12110.400390625,12110.400390625,12110.400390625,12110.400390625,0
12226.2001953125,12226.2001953125,12226.2001953125,12226.2001953125,0
12288.099609375,12288.099609375,12288.099609375,12288.099609375,0
12447.5,12447.5,12447.5,12447.5,0
12461.099609375,12461.099609375,12461.099609375,12461.099609375,0
12481.0,12481.0,12481.0,12481.0,0
12469.099609375,12469.099609375,12469.099609375,12469.099609375,0
12397.2998046875,12397.2998046875,12397.2998046875,12397.2998046875,0
12300.400390625,12300.400390625,12300.400390625,12300.400390625,0
12348.7998046875,12348.7998046875,12348.7998046875,12348.7998046875,0
12354.2998046875,12354.2998046875,12354.2998046875,12354.2998046875,0
12382.2998046875,12382.2998046875,12382.2998046875,12382.2998046875,0
12510.2998046875,12510.2998046875,12510.2998046875,12510.2998046875,0
12530.0,12530.0,12530.0,12530.0,0
12560.2001953125,12560.2001953125,12560.2001953125,12560.2001953125,0
12569.099609375,12569.099609375,12569.099609375,12569.099609375,0
12573.7998046875,12573.7998046875,12573.7998046875,12573.7998046875,0
12484.599609375,12484.599609375,12484.599609375,12484.599609375,0
12553.0,12553.0,12553.0,12553.0,0
12612.099609375,12612.099609375,12612.099609375,12612.099609375,0
12720.5,12720.5,12720.5,12720.5,0
12773.0,12773.0,12773.0,12773.0,0
12803.7998046875,12803.7998046875,12803.7998046875,12803.7998046875,0
12808.599609375,12808.599609375,12808.599609375,12808.599609375,0
12962.0,12962.0,12962.0,12962.0,0
12919.400390625,12919.400390625,12919.400390625,12919.400390625,0
12953.900390625,12953.900390625,12953.900390625,12953.900390625,0
13089.900390625,13089.900390625,13089.900390625,13089.900390625,0
13105.5,13105.5,13105.5,13105.5,0
13120.900390625,13120.900390625,13120.900390625,13120.900390625,0
13062.900390625,13062.900390625,13062.900390625,13062.900390625,0
13136.099609375,13136.099609375,13136.099609375,13136.099609375,0
13211.900390625,13211.900390625,13211.900390625,13211.900390625,0
13241.400390625,13241.400390625,13241.400390625,13241.400390625,0
13264.599609375,13264.599609375,13264.599609375,13264.599609375,0
13313.0,13313.0,13313.0,13313.0,0
13309.099609375,13309.099609375,13309.099609375,13309.099609375,0
13362.900390625,13362.900390625,13362.900390625,13362.900390625,0
13215.099609375,13215.099609375,13215.099609375,13215.099609375,0
13326.2001953125,13326.2001953125,13326.2001953125,13326.2001953125,0
13346.7998046875,13346.7998046875,13346.7998046875,13346.7998046875,0
13383.7998046875,13383.7998046875,13383.7998046875,13383.7998046875,0
13487.5,13487.5,13487.5,13487.5,0
13476.7001953125,13476.7001953125,13476.7001953125,13476.7001953125,0
